Vin,Vout_FF,Vout_FS,Vout_SF,Vout_SS,Vout_TT(Reference_corner)
-0.276,-4.38E-05,-0.000136103,3.01E-05,0.000442258,5.98E-05
-0.275,-4.47E-05,-0.000135492,3.12E-05,0.000448076,6.16E-05
-0.274,-4.57E-05,-0.000134832,3.23E-05,0.000453962,6.34E-05
-0.273,-4.67E-05,-0.000134122,3.35E-05,0.00045992,6.54E-05
-0.272,-4.77E-05,-0.000133361,3.47E-05,0.00046595,6.73E-05
-0.271,-4.87E-05,-0.000132548,3.60E-05,0.000472054,6.93E-05
-0.27,-4.98E-05,-0.000131684,3.73E-05,0.000478234,7.14E-05
-0.269,-5.08E-05,-0.000130766,3.86E-05,0.000484491,7.36E-05
-0.268,-5.19E-05,-0.000129795,4.01E-05,0.000490827,7.58E-05
-0.267,-5.30E-05,-0.000128769,4.15E-05,0.000497245,7.80E-05
-0.266,-5.42E-05,-0.000127688,4.30E-05,0.000503745,8.03E-05
-0.265,-5.53E-05,-0.00012655,4.46E-05,0.00051033,8.27E-05
-0.264,-5.65E-05,-0.000125356,4.63E-05,0.000517001,8.52E-05
-0.263,-5.77E-05,-0.000124103,4.80E-05,0.000523761,8.77E-05
-0.262,-5.89E-05,-0.000122792,4.97E-05,0.000530612,9.02E-05
-0.261,-6.02E-05,-0.00012142,5.16E-05,0.000537556,9.29E-05
-0.26,-6.15E-05,-0.000119988,5.35E-05,0.000544595,9.56E-05
-0.259,-6.28E-05,-0.000118495,5.55E-05,0.000551731,9.84E-05
-0.258,-6.41E-05,-0.000116938,5.75E-05,0.000558967,0.000101291
-0.257,-6.55E-05,-0.000115318,5.97E-05,0.000566304,0.000104238
-0.256,-6.69E-05,-0.000113632,6.19E-05,0.000573745,0.000107263
-0.255,-6.83E-05,-0.000111881,6.42E-05,0.000581293,0.000110368
-0.254,-6.97E-05,-0.000110062,6.66E-05,0.00058895,0.000113554
-0.253,-7.12E-05,-0.000108176,6.91E-05,0.000596718,0.000116824
-0.252,-7.27E-05,-0.000106219,7.17E-05,0.000604599,0.000120179
-0.251,-7.42E-05,-0.000104192,7.43E-05,0.000612598,0.000123621
-0.25,-7.57E-05,-0.000102092,7.71E-05,0.000620715,0.000127152
-0.249,-7.73E-05,-9.99E-05,8.00E-05,0.000628954,0.000130774
-0.248,-7.89E-05,-9.77E-05,8.30E-05,0.000637318,0.000134489
-0.247,-8.05E-05,-9.53E-05,8.61E-05,0.000645809,0.000138298
-0.246,-8.21E-05,-9.29E-05,8.93E-05,0.00065443,0.000142205
-0.245,-8.38E-05,-9.05E-05,9.26E-05,0.000663184,0.00014621
-0.244,-8.55E-05,-8.79E-05,9.61E-05,0.000672074,0.000150317
-0.243,-8.72E-05,-8.53E-05,9.97E-05,0.000681102,0.000154527
-0.242,-8.89E-05,-8.25E-05,0.000103436,0.000690273,0.000158842
-0.241,-9.07E-05,-7.97E-05,0.000107304,0.000699589,0.000163265
-0.24,-9.24E-05,-7.68E-05,0.000111316,0.000709053,0.000167799
-0.239,-9.43E-05,-7.38E-05,0.000115476,0.000718668,0.000172444
-0.238,-9.61E-05,-7.08E-05,0.000119789,0.000728439,0.000177205
-0.237,-9.79E-05,-6.76E-05,0.000124261,0.000738367,0.000182083
-0.236,-9.98E-05,-6.43E-05,0.000128896,0.000748456,0.000187081
-0.235,-0.000101674,-6.09E-05,0.000133701,0.000758711,0.000192201
-0.234,-0.000103577,-5.75E-05,0.000138681,0.000769134,0.000197446
-0.233,-0.000105497,-5.39E-05,0.000143841,0.000779729,0.000202819
-0.232,-0.000107433,-5.03E-05,0.000149187,0.0007905,0.000208323
-0.231,-0.000109384,-4.65E-05,0.000154726,0.00080145,0.000213959
-0.23,-0.000111348,-4.26E-05,0.000160464,0.000812584,0.000219731
-0.229,-0.000113323,-3.86E-05,0.000166406,0.000823905,0.000225643
-0.228,-0.000115309,-3.45E-05,0.00017256,0.000835416,0.000231696
-0.227,-0.000117303,-3.03E-05,0.000178932,0.000847123,0.000237894
-0.226,-0.000119304,-2.60E-05,0.000185528,0.000859029,0.00024424
-0.225,-0.00012131,-2.15E-05,0.000192356,0.000871138,0.000250738
-0.224,-0.000123319,-1.70E-05,0.000199422,0.000883454,0.000257389
-0.223,-0.000125328,-1.23E-05,0.000206735,0.000895982,0.000264199
-0.222,-0.000127335,-7.44E-06,0.0002143,0.000908727,0.000271169
-0.221,-0.000129338,-2.48E-06,0.000222126,0.000921692,0.000278305
-0.22,-0.000131335,2.61E-06,0.00023022,0.000934882,0.000285608
-0.219,-0.000133321,7.83E-06,0.00023859,0.000948302,0.000293083
-0.218,-0.000135296,1.32E-05,0.000247244,0.000961957,0.000300733
-0.217,-0.000137254,1.87E-05,0.00025619,0.000975851,0.000308563
-0.216,-0.000139194,2.43E-05,0.000265436,0.000989989,0.000316575
-0.215,-0.000141111,3.01E-05,0.000274991,0.001004376,0.000324775
-0.214,-0.000143002,3.61E-05,0.000284862,0.001019017,0.000333165
-0.213,-0.000144864,4.22E-05,0.000295059,0.001033917,0.000341751
-0.212,-0.000146691,4.85E-05,0.00030559,0.001049082,0.000350536
-0.211,-0.000148481,5.49E-05,0.000316464,0.001064516,0.000359525
-0.21,-0.000150228,6.15E-05,0.00032769,0.001080226,0.000368722
-0.209,-0.000151928,6.83E-05,0.000339277,0.001096216,0.000378131
-0.208,-0.000153577,7.52E-05,0.000351234,0.001112493,0.000387758
-0.207,-0.000155168,8.23E-05,0.000363571,0.001129061,0.000397607
-0.206,-0.000156698,8.96E-05,0.000376298,0.001145927,0.000407682
-0.205,-0.00015816,9.71E-05,0.000389422,0.001163096,0.00041799
-0.204,-0.000159548,0.000104824,0.000402955,0.001180575,0.000428534
-0.203,-0.000160858,0.000112704,0.000416906,0.001198369,0.00043932
-0.202,-0.000162081,0.000120784,0.000431285,0.001216485,0.000450353
-0.201,-0.000163213,0.00012907,0.000446102,0.001234929,0.000461638
-0.2,-0.000164247,0.000137565,0.000461367,0.001253707,0.000473182
-0.199,-0.000165175,0.000146276,0.00047709,0.001272826,0.000484989
-0.198,-0.00016599,0.000155206,0.000493281,0.001292292,0.000497066
-0.197,-0.000166685,0.000164361,0.000509951,0.001312113,0.000509418
-0.196,-0.000167252,0.000173747,0.000527109,0.001332294,0.000522052
-0.195,-0.000167683,0.000183368,0.000544768,0.001352842,0.000534972
-0.194,-0.000167971,0.000193231,0.000562936,0.001373766,0.000548187
-0.193,-0.000168105,0.00020334,0.000581624,0.001395071,0.000561702
-0.192,-0.000168079,0.000213702,0.000600844,0.001416766,0.000575523
-0.191,-0.000167882,0.000224322,0.000620606,0.001438857,0.000589658
-0.19,-0.000167505,0.000235207,0.00064092,0.001461352,0.000604112
-0.189,-0.000166938,0.000246363,0.000661798,0.001484258,0.000618894
-0.188,-0.000166173,0.000257796,0.000683251,0.001507584,0.000634011
-0.187,-0.000165198,0.000269512,0.000705288,0.001531337,0.000649468
-0.186,-0.000164003,0.000281518,0.000727922,0.001555525,0.000665275
-0.185,-0.000162578,0.000293822,0.000751164,0.001580157,0.000681438
-0.184,-0.000160911,0.000306429,0.000775023,0.00160524,0.000697966
-0.183,-0.000158991,0.000319347,0.000799513,0.001630783,0.000714866
-0.182,-0.000156807,0.000332584,0.000824642,0.001656794,0.000732145
-0.181,-0.000154347,0.000346146,0.000850424,0.001683282,0.000749814
-0.18,-0.000151599,0.000360041,0.000876868,0.001710256,0.000767879
-0.179,-0.00014855,0.000374277,0.000903987,0.001737725,0.00078635
-0.178,-0.000145187,0.000388862,0.000931791,0.001765697,0.000805235
-0.177,-0.000141499,0.000403804,0.000960292,0.001794183,0.000824543
-0.176,-0.000137472,0.000419111,0.000989501,0.00182319,0.000844283
-0.175,-0.000133092,0.000434792,0.001019429,0.001852729,0.000864465
-0.174,-0.000128345,0.000450855,0.001050088,0.001882809,0.000885098
-0.173,-0.000123219,0.000467309,0.00108149,0.001913441,0.000906191
-0.172,-0.000117698,0.000484163,0.001113645,0.001944633,0.000927755
-0.171,-0.000111769,0.000501426,0.001146565,0.001976396,0.000949799
-0.17,-0.000105416,0.000519108,0.001180262,0.00200874,0.000972334
-0.169,-9.86E-05,0.000537219,0.001214748,0.002041675,0.00099537
-0.168,-9.14E-05,0.000555767,0.001250033,0.002075213,0.001018918
-0.167,-8.37E-05,0.000574764,0.00128613,0.002109363,0.001042989
-0.166,-7.55E-05,0.000594219,0.001323051,0.002144136,0.001067594
-0.165,-6.68E-05,0.000614143,0.001360806,0.002179543,0.001092743
-0.164,-5.76E-05,0.000634546,0.001399408,0.002215596,0.001118449
-0.163,-4.78E-05,0.000655439,0.001438869,0.002252306,0.001144722
-0.162,-3.75E-05,0.000676834,0.001479201,0.002289683,0.001171576
-0.161,-2.67E-05,0.000698741,0.001520415,0.00232774,0.001199022
-0.16,-1.52E-05,0.000721173,0.001562523,0.002366488,0.001227072
-0.159,-3.20E-06,0.00074414,0.001605539,0.002405939,0.001255739
-0.158,9.45E-06,0.000767656,0.001649472,0.002446105,0.001285035
-0.157,2.27E-05,0.000791732,0.001694337,0.002486999,0.001314975
-0.156,3.67E-05,0.000816381,0.001740146,0.002528632,0.00134557
-0.155,5.13E-05,0.000841615,0.001786909,0.002571017,0.001376835
-0.154,6.66E-05,0.000867448,0.001834641,0.002614168,0.001408782
-0.153,8.25E-05,0.000893892,0.001883354,0.002658095,0.001441427
-0.152,9.93E-05,0.000920962,0.00193306,0.002702814,0.001474782
-0.151,0.00011671,0.00094867,0.001983771,0.002748336,0.001508863
-0.15,0.00013492,0.000977032,0.002035502,0.002794675,0.001543685
-0.149,0.000153907,0.00100606,0.002088264,0.002841845,0.001579261
-0.148,0.000173688,0.001035771,0.002142071,0.002889859,0.001615607
-0.147,0.000194284,0.001066178,0.002196935,0.002938731,0.001652739
-0.146,0.000215714,0.001097296,0.002252871,0.002988475,0.001690671
-0.145,0.000237995,0.001129142,0.002309891,0.003039104,0.001729421
-0.144,0.000261148,0.00116173,0.002368009,0.003090634,0.001769003
-0.143,0.000285192,0.001195076,0.002427238,0.003143079,0.001809435
-0.142,0.000310147,0.001229198,0.002487592,0.003196452,0.001850732
-0.141,0.000336031,0.00126411,0.002549085,0.00325077,0.001892913
-0.14,0.000362866,0.00129983,0.002611731,0.003306046,0.001935993
-0.139,0.00039067,0.001336375,0.002675543,0.003362296,0.00197999
-0.138,0.000419465,0.001373762,0.002740536,0.003419536,0.002024921
-0.137,0.00044927,0.001412008,0.002806725,0.003477779,0.002070805
-0.136,0.000480105,0.001451132,0.002874123,0.003537042,0.00211766
-0.135,0.000511992,0.001491152,0.002942746,0.003597341,0.002165503
-0.134,0.00054495,0.001532086,0.003012607,0.00365869,0.002214354
-0.133,0.000579001,0.001573954,0.003083722,0.003721107,0.002264231
-0.132,0.000614165,0.001616773,0.003156106,0.003784607,0.002315153
-0.131,0.000650464,0.001660563,0.003229773,0.003849206,0.00236714
-0.13,0.000687919,0.001705344,0.003304739,0.003914921,0.00242021
-0.129,0.000726551,0.001751136,0.00338102,0.003981768,0.002474385
-0.128,0.000766382,0.001797959,0.00345863,0.004049763,0.002529683
-0.127,0.000807432,0.001845834,0.003537585,0.004118924,0.002586125
-0.126,0.000849726,0.00189478,0.003617902,0.004189267,0.002643732
-0.125,0.000893283,0.001944821,0.003699595,0.004260809,0.002702524
-0.124,0.000938126,0.001995975,0.00378268,0.004333567,0.002762522
-0.123,0.000984278,0.002048267,0.003867175,0.004407559,0.002823748
-0.122,0.001031761,0.002101716,0.003953094,0.004482801,0.002886222
-0.121,0.001080598,0.002156346,0.004040455,0.004559312,0.002949966
-0.12,0.001130811,0.002212179,0.004129273,0.004637108,0.003015002
-0.119,0.001182423,0.002269238,0.004219565,0.004716207,0.003081352
